source,target,boolean_expression,length
0,11,[[0 * 10 * 1 * 7 * 11] + [0 * 10 * 4 * 3 * 11 * -1] + [0 * 10 * 4 * 3 * 11 * 1 * -7] + [0 * 10 * 6 * 11 * -1 * -4] + [0 * 10 * 6 * 11 * -1 * 4 * -3] + [0 * 10 * 6 * 11 * 1 * -7 * -4] + [0 * 10 * 6 * 11 * 1 * -7 * 4 * -3] + [0 * 2 * 1 * 7 * 11 * -10] + [0 * 2 * 9 * 7 * 11 * -10 * -1] + [0 * 2 * 9 * 7 * 11 * 10 * -1 * -4 * -6] + [0 * 2 * 9 * 7 * 11 * 10 * -1 * 4 * -3 * -6] + [0 * 5 * 8 * 4 * 3 * 11 * -10 * -2] + [0 * 5 * 8 * 4 * 3 * 11 * -10 * 2 * -1 * -9] + [0 * 5 * 8 * 4 * 3 * 11 * -10 * 2 * -1 * 9 * -7] + [0 * 5 * 8 * 4 * 3 * 11 * -10 * 2 * 1 * -7]],15
1,2,[[1 * 2]],1
1,3,[[1 * 2 * 0 * 5 * 8 * 4 * 3] + [1 * 7 * 11 * 3 * -2] + [1 * 7 * 11 * 3 * 2 * 0] + [1 * 7 * 11 * 3 * 2 * 0 * -5] + [1 * 7 * 11 * 3 * 2 * 0 * 5 * -8] + [1 * 7 * 11 * 3 * 2 * 0 * 5 * 8 * -4] + [1 * 10 * 4 * 3 * -2 * -7] + [1 * 10 * 4 * 3 * -2 * 7 * -11] + [1 * 10 * 4 * 3 * 2 * 0 * -7] + [1 * 10 * 4 * 3 * 2 * 0 * 7 * -11] + [1 * 10 * 4 * 3 * 2 * 0 * -5 * -7] + [1 * 10 * 4 * 3 * 2 * 0 * -5 * 7 * -11] + [1 * 10 * 4 * 3 * 2 * 0 * 5 * -8 * -7] + [1 * 10 * 4 * 3 * 2 * 0 * 5 * -8 * 7 * -11] + [1 * 10 * 6 * 3 * -2 * -7 * -4] + [1 * 10 * 6 * 3 * -2 * 7 * -11 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * -7 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * 7 * -11 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * -5 * -7 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * -5 * 7 * -11 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * 5 * -8 * -7 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * 5 * -8 * 7 * -11 * -4] + [1 * 10 * 6 * 3 * 2 * 0 * 5 * 8 * -4 * -7] + [1 * 10 * 6 * 3 * 2 * 0 * 5 * 8 * -4 * 7 * -11]],24
1,4,[[1 * 2 * 0 * 5 * 8 * 4] + [1 * 7 * 11 * 3 * 4 * -2] + [1 * 7 * 11 * 3 * 4 * 2 * 0] + [1 * 7 * 11 * 3 * 4 * 2 * 0 * -5] + [1 * 7 * 11 * 3 * 4 * 2 * 0 * 5 * -8] + [1 * 10 * 4 * -2 * -7] + [1 * 10 * 4 * -2 * 7 * -11] + [1 * 10 * 4 * -2 * 7 * 11 * -3] + [1 * 10 * 4 * 2 * 0 * -7] + [1 * 10 * 4 * 2 * 0 * 7 * -11] + [1 * 10 * 4 * 2 * 0 * 7 * 11 * -3] + [1 * 10 * 4 * 2 * 0 * -5 * -7] + [1 * 10 * 4 * 2 * 0 * -5 * 7 * -11] + [1 * 10 * 4 * 2 * 0 * -5 * 7 * 11 * -3] + [1 * 10 * 4 * 2 * 0 * 5 * -8 * -7] + [1 * 10 * 4 * 2 * 0 * 5 * -8 * 7 * -11] + [1 * 10 * 4 * 2 * 0 * 5 * -8 * 7 * 11 * -3]],17
1,5,[[1 * 2 * 0 * 5] + [1 * 7 * 11 * 3 * 4 * 8 * 5 * -2] + [1 * 7 * 11 * 3 * 4 * 8 * 5 * 2 * 0] + [1 * 10 * 5 * -2 * -7] + [1 * 10 * 5 * -2 * 7 * -11] + [1 * 10 * 5 * -2 * 7 * 11 * -3] + [1 * 10 * 5 * -2 * 7 * 11 * 3 * -4] + [1 * 10 * 5 * -2 * 7 * 11 * 3 * 4 * -8] + [1 * 10 * 5 * 2 * 0 * -7] + [1 * 10 * 5 * 2 * 0 * 7 * -11] + [1 * 10 * 5 * 2 * 0 * 7 * 11 * -3] + [1 * 10 * 5 * 2 * 0 * 7 * 11 * 3 * -4] + [1 * 10 * 5 * 2 * 0 * 7 * 11 * 3 * 4 * -8]],13
1,6,[[1 * 2 * 0 * 5 * 8 * 4 * 3 * 6] + [1 * 7 * 11 * 6 * -2] + [1 * 7 * 11 * 6 * 2 * 0] + [1 * 7 * 11 * 6 * 2 * 0 * -5] + [1 * 7 * 11 * 6 * 2 * 0 * 5 * -8] + [1 * 7 * 11 * 6 * 2 * 0 * 5 * 8 * -4] + [1 * 7 * 11 * 6 * 2 * 0 * 5 * 8 * 4 * -3] + [1 * 10 * 6 * -2 * -7] + [1 * 10 * 6 * -2 * 7 * -11] + [1 * 10 * 6 * 2 * 0 * -7] + [1 * 10 * 6 * 2 * 0 * 7 * -11] + [1 * 10 * 6 * 2 * 0 * -5 * -7] + [1 * 10 * 6 * 2 * 0 * -5 * 7 * -11] + [1 * 10 * 6 * 2 * 0 * 5 * -8 * -7] + [1 * 10 * 6 * 2 * 0 * 5 * -8 * 7 * -11] + [1 * 10 * 6 * 2 * 0 * 5 * 8 * -4 * -7] + [1 * 10 * 6 * 2 * 0 * 5 * 8 * -4 * 7 * -11] + [1 * 10 * 6 * 2 * 0 * 5 * 8 * 4 * -3 * -7] + [1 * 10 * 6 * 2 * 0 * 5 * 8 * 4 * -3 * 7 * -11]],19
1,7,[[1 * 7]],1
1,8,[[1 * 2 * 0 * 5 * 8] + [1 * 7 * 11 * 3 * 4 * 8 * -2] + [1 * 7 * 11 * 3 * 4 * 8 * 2 * 0] + [1 * 7 * 11 * 3 * 4 * 8 * 2 * 0 * -5] + [1 * 10 * 4 * 8 * -2 * -7] + [1 * 10 * 4 * 8 * -2 * 7 * -11] + [1 * 10 * 4 * 8 * -2 * 7 * 11 * -3] + [1 * 10 * 4 * 8 * 2 * 0 * -7] + [1 * 10 * 4 * 8 * 2 * 0 * 7 * -11] + [1 * 10 * 4 * 8 * 2 * 0 * 7 * 11 * -3] + [1 * 10 * 4 * 8 * 2 * 0 * -5 * -7] + [1 * 10 * 4 * 8 * 2 * 0 * -5 * 7 * -11] + [1 * 10 * 4 * 8 * 2 * 0 * -5 * 7 * 11 * -3] + [1 * 10 * 5 * 8 * -2 * -7 * -4] + [1 * 10 * 5 * 8 * -2 * 7 * -11 * -4] + [1 * 10 * 5 * 8 * -2 * 7 * 11 * -3 * -4] + [1 * 10 * 5 * 8 * -2 * 7 * 11 * 3 * -4] + [1 * 10 * 5 * 8 * 2 * 0 * -7 * -4] + [1 * 10 * 5 * 8 * 2 * 0 * 7 * -11 * -4] + [1 * 10 * 5 * 8 * 2 * 0 * 7 * 11 * -3 * -4] + [1 * 10 * 5 * 8 * 2 * 0 * 7 * 11 * 3 * -4]],21
1,9,[[1 * 2 * 9] + [1 * 7 * 9 * -2]],2
1,10,[[1 * 10]],1
1,11,[[1 * 2 * 0 * 5 * 8 * 4 * 3 * 11] + [1 * 7 * 11 * -2] + [1 * 7 * 11 * 2 * 0] + [1 * 7 * 11 * 2 * 0 * -5] + [1 * 7 * 11 * 2 * 0 * 5 * -8] + [1 * 7 * 11 * 2 * 0 * 5 * 8 * -4] + [1 * 7 * 11 * 2 * 0 * 5 * 8 * 4 * -3] + [1 * 10 * 4 * 3 * 11 * -2 * -7] + [1 * 10 * 4 * 3 * 11 * 2 * 0 * -7] + [1 * 10 * 4 * 3 * 11 * 2 * 0 * -5 * -7] + [1 * 10 * 4 * 3 * 11 * 2 * 0 * 5 * -8 * -7] + [1 * 10 * 6 * 11 * -2 * -7 * -4] + [1 * 10 * 6 * 11 * -2 * -7 * 4 * -3] + [1 * 10 * 6 * 11 * 2 * 0 * -7 * -4] + [1 * 10 * 6 * 11 * 2 * 0 * -7 * 4 * -3] + [1 * 10 * 6 * 11 * 2 * 0 * -5 * -7 * -4] + [1 * 10 * 6 * 11 * 2 * 0 * -5 * -7 * 4 * -3] + [1 * 10 * 6 * 11 * 2 * 0 * 5 * -8 * -7 * -4] + [1 * 10 * 6 * 11 * 2 * 0 * 5 * -8 * -7 * 4 * -3] + [1 * 10 * 6 * 11 * 2 * 0 * 5 * 8 * -4 * -7] + [1 * 10 * 6 * 11 * 2 * 0 * 5 * 8 * 4 * -3 * -7]],21
2,3,[[2 * 0 * 10 * 4 * 3] + [2 * 0 * 10 * 6 * 3 * -4] + [2 * 0 * 5 * 8 * 4 * 3 * -10] + [2 * 1 * 7 * 11 * 3 * 0] + [2 * 1 * 7 * 11 * 3 * 0 * -10 * -5] + [2 * 1 * 7 * 11 * 3 * 0 * -10 * 5 * -8] + [2 * 1 * 7 * 11 * 3 * 0 * -10 * 5 * 8 * -4] + [2 * 1 * 7 * 11 * 3 * 0 * 10 * -4 * -6] + [2 * 1 * 10 * 4 * 3 * 0 * -7] + [2 * 1 * 10 * 4 * 3 * 0 * 7 * -11] + [2 * 1 * 10 * 6 * 3 * 0 * -7 * -4] + [2 * 1 * 10 * 6 * 3 * 0 * 7 * -11 * -4] + [2 * 9 * 7 * 11 * 3 * 0 * -1] + [2 * 9 * 7 * 11 * 3 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 11 * 3 * 0 * -10 * 5 * -8 * -1] + [2 * 9 * 7 * 11 * 3 * 0 * -10 * 5 * 8 * -4 * -1] + [2 * 9 * 7 * 11 * 3 * 0 * 10 * -4 * -6 * -1]],17
2,4,[[2 * 0 * 10 * 4] + [2 * 0 * 5 * 8 * 4 * -10] + [2 * 1 * 7 * 11 * 3 * 4 * 0] + [2 * 1 * 7 * 11 * 3 * 4 * 0 * -10 * -5] + [2 * 1 * 7 * 11 * 3 * 4 * 0 * -10 * 5 * -8] + [2 * 1 * 10 * 4 * 0 * -7] + [2 * 1 * 10 * 4 * 0 * 7 * -11] + [2 * 1 * 10 * 4 * 0 * 7 * 11 * -3] + [2 * 9 * 7 * 11 * 3 * 4 * 0 * -1] + [2 * 9 * 7 * 11 * 3 * 4 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 11 * 3 * 4 * 0 * -10 * 5 * -8 * -1] + [2 * 9 * 7 * 11 * 6 * 10 * 4 * 0 * -1 * -3]],12
2,5,[[2 * 0 * 5] + [2 * 1 * 7 * 11 * 3 * 4 * 8 * 5 * 0] + [2 * 1 * 10 * 5 * 0 * -7] + [2 * 1 * 10 * 5 * 0 * 7 * -11] + [2 * 1 * 10 * 5 * 0 * 7 * 11 * -3] + [2 * 1 * 10 * 5 * 0 * 7 * 11 * 3 * -4] + [2 * 1 * 10 * 5 * 0 * 7 * 11 * 3 * 4 * -8] + [2 * 9 * 7 * 11 * 3 * 4 * 8 * 5 * 0 * -1] + [2 * 9 * 7 * 11 * 3 * 4 * 10 * 5 * 0 * -1 * -8] + [2 * 9 * 7 * 11 * 6 * 10 * 5 * 0 * -1 * -3] + [2 * 9 * 7 * 11 * 6 * 10 * 5 * 0 * -1 * 3 * -4]],11
2,6,[[2 * 0 * 10 * 6] + [2 * 0 * 5 * 8 * 4 * 3 * 6 * -10] + [2 * 1 * 7 * 11 * 6 * 0] + [2 * 1 * 7 * 11 * 6 * 0 * -10 * -5] + [2 * 1 * 7 * 11 * 6 * 0 * -10 * 5 * -8] + [2 * 1 * 7 * 11 * 6 * 0 * -10 * 5 * 8 * -4] + [2 * 1 * 7 * 11 * 6 * 0 * -10 * 5 * 8 * 4 * -3] + [2 * 1 * 10 * 6 * 0 * -7] + [2 * 1 * 10 * 6 * 0 * 7 * -11] + [2 * 9 * 7 * 11 * 6 * 0 * -1] + [2 * 9 * 7 * 11 * 6 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 11 * 6 * 0 * -10 * 5 * -8 * -1] + [2 * 9 * 7 * 11 * 6 * 0 * -10 * 5 * 8 * -4 * -1] + [2 * 9 * 7 * 11 * 6 * 0 * -10 * 5 * 8 * 4 * -3 * -1]],14
2,7,[[2 * 0 * 10 * 4 * 3 * 11 * 7] + [2 * 0 * 10 * 6 * 11 * 7 * -4] + [2 * 0 * 10 * 6 * 11 * 7 * 4 * -3] + [2 * 0 * 5 * 8 * 4 * 3 * 11 * 7 * -10] + [2 * 1 * 7 * 0] + [2 * 1 * 7 * 0 * -10 * -5] + [2 * 1 * 7 * 0 * -10 * 5 * -8] + [2 * 1 * 7 * 0 * -10 * 5 * 8 * -4] + [2 * 1 * 7 * 0 * -10 * 5 * 8 * 4 * -3] + [2 * 1 * 7 * 0 * -10 * 5 * 8 * 4 * 3 * -11] + [2 * 1 * 7 * 0 * 10 * -4 * -6] + [2 * 1 * 7 * 0 * 10 * -4 * 6 * -11] + [2 * 1 * 7 * 0 * 10 * 4 * -3 * -6] + [2 * 1 * 7 * 0 * 10 * 4 * -3 * 6 * -11] + [2 * 1 * 7 * 0 * 10 * 4 * 3 * -11] + [2 * 9 * 7 * 0 * -1] + [2 * 9 * 7 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 0 * -10 * 5 * -8 * -1] + [2 * 9 * 7 * 0 * -10 * 5 * 8 * -4 * -1] + [2 * 9 * 7 * 0 * -10 * 5 * 8 * 4 * -3 * -1] + [2 * 9 * 7 * 0 * -10 * 5 * 8 * 4 * 3 * -11 * -1] + [2 * 9 * 7 * 0 * 10 * -4 * -6 * -1] + [2 * 9 * 7 * 0 * 10 * -4 * 6 * -11 * -1] + [2 * 9 * 7 * 0 * 10 * 4 * -3 * -6 * -1] + [2 * 9 * 7 * 0 * 10 * 4 * -3 * 6 * -11 * -1] + [2 * 9 * 7 * 0 * 10 * 4 * 3 * -11 * -1]],26
2,8,[[2 * 0 * 10 * 4 * 8] + [2 * 0 * 5 * 8 * -10] + [2 * 0 * 5 * 8 * 10 * -4] + [2 * 1 * 7 * 11 * 3 * 4 * 8 * 0] + [2 * 1 * 7 * 11 * 3 * 4 * 8 * 0 * -10 * -5] + [2 * 1 * 10 * 4 * 8 * 0 * -7] + [2 * 1 * 10 * 4 * 8 * 0 * 7 * -11] + [2 * 1 * 10 * 4 * 8 * 0 * 7 * 11 * -3] + [2 * 1 * 10 * 5 * 8 * 0 * -7 * -4] + [2 * 1 * 10 * 5 * 8 * 0 * 7 * -11 * -4] + [2 * 1 * 10 * 5 * 8 * 0 * 7 * 11 * -3 * -4] + [2 * 1 * 10 * 5 * 8 * 0 * 7 * 11 * 3 * -4] + [2 * 9 * 7 * 11 * 3 * 4 * 8 * 0 * -1] + [2 * 9 * 7 * 11 * 3 * 4 * 8 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 11 * 6 * 10 * 4 * 8 * 0 * -1 * -3] + [2 * 9 * 7 * 11 * 6 * 10 * 5 * 8 * 0 * -1 * -3 * -4] + [2 * 9 * 7 * 11 * 6 * 10 * 5 * 8 * 0 * -1 * 3 * -4]],17
2,9,[[2 * 9]],1
2,10,[[2 * 0 * 10] + [2 * 1 * 10 * 0] + [2 * 9 * 7 * 11 * 3 * 4 * 10 * 0 * -1] + [2 * 9 * 7 * 11 * 6 * 10 * 0 * -1 * -3] + [2 * 9 * 7 * 11 * 6 * 10 * 0 * -1 * 3 * -4]],5
2,11,[[2 * 0 * 10 * 4 * 3 * 11] + [2 * 0 * 10 * 6 * 11 * -4] + [2 * 0 * 10 * 6 * 11 * 4 * -3] + [2 * 0 * 5 * 8 * 4 * 3 * 11 * -10] + [2 * 1 * 7 * 11 * 0] + [2 * 1 * 7 * 11 * 0 * -10 * -5] + [2 * 1 * 7 * 11 * 0 * -10 * 5 * -8] + [2 * 1 * 7 * 11 * 0 * -10 * 5 * 8 * -4] + [2 * 1 * 7 * 11 * 0 * -10 * 5 * 8 * 4 * -3] + [2 * 1 * 7 * 11 * 0 * 10 * -4 * -6] + [2 * 1 * 7 * 11 * 0 * 10 * 4 * -3 * -6] + [2 * 1 * 10 * 4 * 3 * 11 * 0 * -7] + [2 * 1 * 10 * 6 * 11 * 0 * -7 * -4] + [2 * 1 * 10 * 6 * 11 * 0 * -7 * 4 * -3] + [2 * 9 * 7 * 11 * 0 * -1] + [2 * 9 * 7 * 11 * 0 * -10 * -5 * -1] + [2 * 9 * 7 * 11 * 0 * -10 * 5 * -8 * -1] + [2 * 9 * 7 * 11 * 0 * -10 * 5 * 8 * -4 * -1] + [2 * 9 * 7 * 11 * 0 * -10 * 5 * 8 * 4 * -3 * -1] + [2 * 9 * 7 * 11 * 0 * 10 * -4 * -6 * -1] + [2 * 9 * 7 * 11 * 0 * 10 * 4 * -3 * -6 * -1]],21
3,4,[[3 * 4]],1
3,5,[[3 * 4 * 8 * 5] + [3 * 4 * 10 * 5 * -8] + [3 * 6 * 10 * 5 * -4] + [3 * 11 * 7 * 1 * 2 * 0 * 5 * -4 * -6] + [3 * 11 * 7 * 1 * 2 * 0 * 5 * -4 * 6 * -10] + [3 * 11 * 7 * 1 * 2 * 0 * 5 * 4 * -8 * -10] + [3 * 11 * 7 * 1 * 10 * 5 * -4 * -6 * -2] + [3 * 11 * 7 * 1 * 10 * 5 * -4 * -6 * 2 * 0] + [3 * 11 * 7 * 9 * 2 * 0 * 5 * -4 * -6 * -1] + [3 * 11 * 7 * 9 * 2 * 0 * 5 * -4 * 6 * -10 * -1] + [3 * 11 * 7 * 9 * 2 * 0 * 5 * 4 * -8 * -10 * -1]],11
3,6,[[3 * 6]],1
3,7,[[3 * 4 * 8 * 5 * 0 * 2 * 1 * 7] + [3 * 4 * 8 * 5 * 0 * 2 * 9 * 7 * -1] + [3 * 4 * 10 * 0 * 2 * 9 * 7 * -8] + [3 * 4 * 10 * 0 * 2 * 9 * 7 * 8 * -5] + [3 * 4 * 10 * 1 * 7 * -8 * 0] + [3 * 4 * 10 * 1 * 7 * -8 * 0 * -2] + [3 * 4 * 10 * 1 * 7 * -8 * 0 * 2 * -9] + [3 * 4 * 10 * 1 * 7 * 8 * -5 * 0] + [3 * 4 * 10 * 1 * 7 * 8 * -5 * 0 * -2] + [3 * 4 * 10 * 1 * 7 * 8 * -5 * 0 * 2 * -9] + [3 * 4 * 10 * 1 * 7 * 8 * 5 * 0] + [3 * 4 * 10 * 1 * 7 * 8 * 5 * 0 * -2] + [3 * 6 * 10 * 0 * 2 * 9 * 7 * -4] + [3 * 6 * 10 * 1 * 7 * -4 * 0] + [3 * 6 * 10 * 1 * 7 * -4 * 0 * -2] + [3 * 6 * 10 * 1 * 7 * -4 * 0 * 2 * -9] + [3 * 11 * 7 * -4 * -6] + [3 * 11 * 7 * -4 * 6 * -10] + [3 * 11 * 7 * -4 * 6 * 10 * 0 * -1] + [3 * 11 * 7 * -4 * 6 * 10 * 0 * -2 * -1] + [3 * 11 * 7 * -4 * 6 * 10 * 0 * 2 * -9 * -1] + [3 * 11 * 7 * 4 * -8 * -10] + [3 * 11 * 7 * 4 * -8 * 10 * 0 * -1] + [3 * 11 * 7 * 4 * -8 * 10 * 0 * -2 * -1] + [3 * 11 * 7 * 4 * -8 * 10 * 0 * 2 * -9 * -1] + [3 * 11 * 7 * 4 * 8 * -5 * -10] + [3 * 11 * 7 * 4 * 8 * -5 * 10 * 0 * -1] + [3 * 11 * 7 * 4 * 8 * -5 * 10 * 0 * -2 * -1] + [3 * 11 * 7 * 4 * 8 * -5 * 10 * 0 * 2 * -9 * -1] + [3 * 11 * 7 * 4 * 8 * 5 * 0 * -10] + [3 * 11 * 7 * 4 * 8 * 5 * 0 * 10 * -1] + [3 * 11 * 7 * 4 * 8 * 5 * 0 * -2 * -10] + [3 * 11 * 7 * 4 * 8 * 5 * 0 * -2 * 10 * -1] + [3 * 11 * 7 * 4 * 8 * 5 * 0 * 2 * -1 * -9]],34
3,8,[[3 * 4 * 8] + [3 * 6 * 10 * 5 * 8 * -4] + [3 * 11 * 7 * 1 * 2 * 0 * 5 * 8 * -4 * -6] + [3 * 11 * 7 * 1 * 2 * 0 * 5 * 8 * -4 * 6 * -10] + [3 * 11 * 7 * 1 * 10 * 5 * 8 * -4 * -6 * -2] + [3 * 11 * 7 * 1 * 10 * 5 * 8 * -4 * -6 * 2 * 0] + [3 * 11 * 7 * 9 * 2 * 0 * 5 * 8 * -4 * -6 * -1] + [3 * 11 * 7 * 9 * 2 * 0 * 5 * 8 * -4 * 6 * -10 * -1]],8
