source,target,boolean_expression,length
0,11,[[0] + [-11 * 0] + [-9 * -10 * 0 * 11] + [-9 * -12 * 0 * 11 * 10] + [-9 * -16 * 0 * 11 * 10 * 12] + [-1 * -2 * -14 * 0 * 11 * 9] + [-1 * -2 * -14 * 0 * 11 * -9 * 10 * 12 * 16] + [-1 * -12 * -14 * 0 * 11 * 9 * 2] + [-1 * -14 * -16 * 0 * 11 * 9 * 2 * 12] + [-2 * -5 * -14 * 0 * 11 * 9 * 1] + [-2 * -5 * -14 * 0 * 11 * -9 * 10 * 12 * 16 * 1] + [-2 * -9 * -14 * 0 * 11 * 10 * 12 * 16 * 1 * 5] + [-2 * -13 * -14 * 0 * 11 * 9 * 1 * 5] + [-5 * -12 * -14 * 0 * 11 * 9 * 1 * 2] + [-5 * -14 * -16 * 0 * 11 * 9 * 1 * 2 * 12] + [-12 * -13 * -14 * 0 * 11 * 9 * 1 * 2 * 5] + [-13 * -14 * -16 * 0 * 11 * 9 * 1 * 2 * 5 * 12]],17
0,12,[[0] + [-12 * 0] + [-1 * -2 * -14 * 0 * 12] + [-2 * -5 * -14 * 0 * 12 * 1] + [-2 * -9 * -14 * 0 * 12 * 1 * 5] + [-2 * -13 * -14 * 0 * 12 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 12 * 1 * 5 * 9 * 13]],7
0,13,[[0] + [-13 * 0]],2
0,14,[[0] + [-14 * 0]],2
0,15,[[0] + [-15 * 0] + [-2 * -12 * 0 * 15] + [-3 * -6 * 0 * 15 * 2] + [-3 * -6 * 0 * 15 * -2 * 12] + [-3 * -7 * 0 * 15 * 2 * 6] + [-3 * -7 * 0 * 15 * -2 * 12 * 6] + [-6 * -12 * 0 * 15 * 2 * 3] + [-7 * -12 * 0 * 15 * 2 * 3 * 6] + [-1 * -2 * -14 * 0 * 15 * 12 * 3] + [-1 * -2 * -14 * 0 * 15 * 12 * -3 * 6 * 7] + [-2 * -5 * -14 * 0 * 15 * 12 * 3 * 1] + [-2 * -5 * -14 * 0 * 15 * 12 * -3 * 6 * 7 * 1] + [-2 * -9 * -14 * 0 * 15 * 12 * 3 * 1 * 5] + [-2 * -9 * -14 * 0 * 15 * 12 * -3 * 6 * 7 * 1 * 5] + [-2 * -13 * -14 * 0 * 15 * 12 * 3 * 1 * 5 * 9] + [-2 * -13 * -14 * 0 * 15 * 12 * -3 * 6 * 7 * 1 * 5 * 9] + [-2 * -14 * -16 * 0 * 15 * 12 * 3 * 1 * 5 * 9 * 13] + [-2 * -14 * -16 * 0 * 15 * 12 * -3 * 6 * 7 * 1 * 5 * 9 * 13]],19
0,16,[[0] + [-16 * 0] + [-9 * -12 * 0 * 16] + [-1 * -2 * -14 * 0 * 16 * 9] + [-1 * -2 * -14 * 0 * 16 * -9 * 12] + [-1 * -12 * -14 * 0 * 16 * 9 * 2] + [-2 * -5 * -14 * 0 * 16 * 9 * 1] + [-2 * -5 * -14 * 0 * 16 * -9 * 12 * 1] + [-2 * -9 * -14 * 0 * 16 * 12 * 1 * 5] + [-2 * -13 * -14 * 0 * 16 * 9 * 1 * 5] + [-5 * -12 * -14 * 0 * 16 * 9 * 1 * 2] + [-12 * -13 * -14 * 0 * 16 * 9 * 1 * 2 * 5]],12
1,2,[[-2] + [0 * -5 * -14 * 2] + [0 * -9 * -14 * 2 * 5] + [0 * -12 * -14 * 2 * 5 * 9] + [0 * -14 * -16 * 2 * 5 * 9 * 12] + [-5 * -13 * -14 * 2 * 0] + [-9 * -13 * -14 * 2 * 0 * 5] + [-12 * -13 * -14 * 2 * 0 * 5 * 9] + [-13 * -14 * -16 * 2 * 0 * 5 * 9 * 12]],9
1,3,[[-1] + [-3 * 1] + [-2 * -12 * 1 * 3] + [-6 * -12 * 1 * 3 * 2] + [-7 * -12 * 1 * 3 * 2 * 6] + [-12 * -15 * 1 * 3 * 2 * 6 * 7] + [0 * -5 * -14 * 1 * 3 * 2 * 6 * 7 * 12] + [0 * -5 * -14 * 1 * 3 * 2 * 6 * 7 * -12 * 15] + [0 * -5 * -14 * 1 * 3 * 2 * 6 * -7 * 12] + [0 * -5 * -14 * 1 * 3 * 2 * -6 * 12] + [0 * -5 * -14 * 1 * 3 * -2 * 12] + [0 * -9 * -14 * 1 * 3 * 2 * 6 * 7 * 12 * 5] + [0 * -9 * -14 * 1 * 3 * 2 * 6 * 7 * -12 * 15 * 5] + [0 * -9 * -14 * 1 * 3 * 2 * 6 * -7 * 12 * 5] + [0 * -9 * -14 * 1 * 3 * 2 * -6 * 12 * 5] + [0 * -9 * -14 * 1 * 3 * -2 * 12 * 5] + [0 * -12 * -14 * 1 * 3 * 2 * 6 * 7 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 3 * 2 * 6 * 7 * 12 * 5 * 9] + [0 * -14 * -16 * 1 * 3 * 2 * 6 * -7 * 12 * 5 * 9] + [0 * -14 * -16 * 1 * 3 * 2 * -6 * 12 * 5 * 9] + [0 * -14 * -16 * 1 * 3 * -2 * 12 * 5 * 9] + [-2 * -5 * -14 * 1 * 3 * 12 * 0] + [-2 * -9 * -14 * 1 * 3 * 12 * 0 * 5] + [-2 * -14 * -16 * 1 * 3 * 12 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 3 * 2 * 6 * 7 * 12 * 0] + [-5 * -13 * -14 * 1 * 3 * 2 * 6 * 7 * -12 * 15 * 0] + [-5 * -13 * -14 * 1 * 3 * 2 * 6 * -7 * 12 * 0] + [-5 * -13 * -14 * 1 * 3 * 2 * -6 * 12 * 0] + [-9 * -13 * -14 * 1 * 3 * 2 * 6 * 7 * 12 * 0 * 5] + [-9 * -13 * -14 * 1 * 3 * 2 * 6 * 7 * -12 * 15 * 0 * 5] + [-9 * -13 * -14 * 1 * 3 * 2 * 6 * -7 * 12 * 0 * 5] + [-9 * -13 * -14 * 1 * 3 * 2 * -6 * 12 * 0 * 5] + [-12 * -13 * -14 * 1 * 3 * 2 * 6 * 7 * 15 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 3 * 2 * 6 * 7 * 12 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 3 * 2 * 6 * -7 * 12 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 3 * 2 * -6 * 12 * 0 * 5 * 9]],36
1,4,[[-1] + [-4 * 1] + [-2 * -12 * 1 * 4] + [-3 * -6 * 1 * 4 * 2] + [-3 * -6 * 1 * 4 * -2 * 12] + [-6 * -7 * 1 * 4 * 2 * 3] + [-6 * -7 * 1 * 4 * -2 * 12 * 3] + [-6 * -8 * 1 * 4 * 2 * 3 * 7] + [-6 * -8 * 1 * 4 * -2 * 12 * 3 * 7] + [-6 * -12 * 1 * 4 * 2 * 3 * 7 * 8] + [-6 * -15 * 1 * 4 * 2 * 3 * 7 * 8 * 12] + [-6 * -15 * 1 * 4 * -2 * 12 * 3 * 7 * 8] + [0 * -5 * -14 * 1 * 4 * 2 * 3 * 6] + [0 * -5 * -14 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15] + [0 * -5 * -14 * 1 * 4 * 2 * -3 * 6] + [0 * -5 * -14 * 1 * 4 * -2 * 12 * 3 * 6] + [0 * -5 * -14 * 1 * 4 * -2 * 12 * 3 * -6 * 7 * 8 * 15] + [0 * -5 * -14 * 1 * 4 * -2 * 12 * -3 * 6] + [0 * -9 * -14 * 1 * 4 * 2 * 3 * 6 * 5] + [0 * -9 * -14 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15 * 5] + [0 * -9 * -14 * 1 * 4 * 2 * -3 * 6 * 5] + [0 * -9 * -14 * 1 * 4 * -2 * 12 * 3 * 6 * 5] + [0 * -9 * -14 * 1 * 4 * -2 * 12 * 3 * -6 * 7 * 8 * 15 * 5] + [0 * -9 * -14 * 1 * 4 * -2 * 12 * -3 * 6 * 5] + [0 * -12 * -14 * 1 * 4 * 2 * 3 * 6 * 5 * 9] + [0 * -12 * -14 * 1 * 4 * 2 * -3 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 4 * 2 * 3 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 4 * 2 * -3 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 4 * -2 * 12 * 3 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 4 * -2 * 12 * 3 * -6 * 7 * 8 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 4 * -2 * 12 * -3 * 6 * 5 * 9] + [-2 * -5 * -14 * 1 * 4 * 12 * 3 * 6 * 0] + [-2 * -5 * -14 * 1 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 0] + [-2 * -5 * -14 * 1 * 4 * 12 * -3 * 6 * 0] + [-2 * -9 * -14 * 1 * 4 * 12 * 3 * 6 * 0 * 5] + [-2 * -9 * -14 * 1 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 0 * 5] + [-2 * -9 * -14 * 1 * 4 * 12 * -3 * 6 * 0 * 5] + [-2 * -14 * -16 * 1 * 4 * 12 * 3 * 6 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 4 * 12 * 3 * -6 * 7 * 8 * 15 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 4 * 12 * -3 * 6 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 4 * 2 * 3 * 6 * 0] + [-5 * -13 * -14 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15 * 0] + [-5 * -13 * -14 * 1 * 4 * 2 * -3 * 6 * 0] + [-9 * -13 * -14 * 1 * 4 * 2 * 3 * 6 * 0 * 5] + [-9 * -13 * -14 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15 * 0 * 5] + [-9 * -13 * -14 * 1 * 4 * 2 * -3 * 6 * 0 * 5] + [-12 * -13 * -14 * 1 * 4 * 2 * 3 * 6 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 4 * 2 * -3 * 6 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 4 * 2 * 3 * 6 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 4 * 2 * 3 * -6 * 7 * 8 * 12 * 15 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 4 * 2 * -3 * 6 * 0 * 5 * 9 * 12]],52
1,5,[[-1] + [-5 * 1]],2
1,6,[[-1] + [-6 * 1] + [-2 * -12 * 1 * 6] + [0 * -5 * -14 * 1 * 6 * 2] + [0 * -5 * -14 * 1 * 6 * -2 * 12] + [0 * -9 * -14 * 1 * 6 * 2 * 5] + [0 * -9 * -14 * 1 * 6 * -2 * 12 * 5] + [0 * -12 * -14 * 1 * 6 * 2 * 5 * 9] + [0 * -14 * -16 * 1 * 6 * 2 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 6 * -2 * 12 * 5 * 9] + [-2 * -5 * -14 * 1 * 6 * 12 * 0] + [-2 * -9 * -14 * 1 * 6 * 12 * 0 * 5] + [-2 * -14 * -16 * 1 * 6 * 12 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 6 * 2 * 0] + [-9 * -13 * -14 * 1 * 6 * 2 * 0 * 5] + [-12 * -13 * -14 * 1 * 6 * 2 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 6 * 2 * 0 * 5 * 9 * 12]],17
1,7,[[-1] + [-7 * 1] + [-2 * -12 * 1 * 7] + [-3 * -6 * 1 * 7 * 2] + [-3 * -6 * 1 * 7 * -2 * 12] + [-6 * -12 * 1 * 7 * 2 * 3] + [-6 * -15 * 1 * 7 * 2 * 3 * 12] + [-6 * -15 * 1 * 7 * -2 * 12 * 3] + [0 * -5 * -14 * 1 * 7 * 2 * 3 * 6] + [0 * -5 * -14 * 1 * 7 * 2 * 3 * -6 * 12 * 15] + [0 * -5 * -14 * 1 * 7 * 2 * -3 * 6] + [0 * -5 * -14 * 1 * 7 * -2 * 12 * 3 * 6] + [0 * -5 * -14 * 1 * 7 * -2 * 12 * 3 * -6 * 15] + [0 * -5 * -14 * 1 * 7 * -2 * 12 * -3 * 6] + [0 * -9 * -14 * 1 * 7 * 2 * 3 * 6 * 5] + [0 * -9 * -14 * 1 * 7 * 2 * 3 * -6 * 12 * 15 * 5] + [0 * -9 * -14 * 1 * 7 * 2 * -3 * 6 * 5] + [0 * -9 * -14 * 1 * 7 * -2 * 12 * 3 * 6 * 5] + [0 * -9 * -14 * 1 * 7 * -2 * 12 * 3 * -6 * 15 * 5] + [0 * -9 * -14 * 1 * 7 * -2 * 12 * -3 * 6 * 5] + [0 * -12 * -14 * 1 * 7 * 2 * 3 * 6 * 5 * 9] + [0 * -12 * -14 * 1 * 7 * 2 * -3 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 7 * 2 * 3 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 7 * 2 * 3 * -6 * 12 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 7 * 2 * -3 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 7 * -2 * 12 * 3 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 7 * -2 * 12 * 3 * -6 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 7 * -2 * 12 * -3 * 6 * 5 * 9] + [-2 * -5 * -14 * 1 * 7 * 12 * 3 * 6 * 0] + [-2 * -5 * -14 * 1 * 7 * 12 * 3 * -6 * 15 * 0] + [-2 * -5 * -14 * 1 * 7 * 12 * -3 * 6 * 0] + [-2 * -9 * -14 * 1 * 7 * 12 * 3 * 6 * 0 * 5] + [-2 * -9 * -14 * 1 * 7 * 12 * 3 * -6 * 15 * 0 * 5] + [-2 * -9 * -14 * 1 * 7 * 12 * -3 * 6 * 0 * 5] + [-2 * -14 * -16 * 1 * 7 * 12 * 3 * 6 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 7 * 12 * 3 * -6 * 15 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 7 * 12 * -3 * 6 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 7 * 2 * 3 * 6 * 0] + [-5 * -13 * -14 * 1 * 7 * 2 * 3 * -6 * 12 * 15 * 0] + [-5 * -13 * -14 * 1 * 7 * 2 * -3 * 6 * 0] + [-9 * -13 * -14 * 1 * 7 * 2 * 3 * 6 * 0 * 5] + [-9 * -13 * -14 * 1 * 7 * 2 * 3 * -6 * 12 * 15 * 0 * 5] + [-9 * -13 * -14 * 1 * 7 * 2 * -3 * 6 * 0 * 5] + [-12 * -13 * -14 * 1 * 7 * 2 * 3 * 6 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 7 * 2 * -3 * 6 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 7 * 2 * 3 * 6 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 7 * 2 * 3 * -6 * 12 * 15 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 7 * 2 * -3 * 6 * 0 * 5 * 9 * 12]],48
