src,dst,boolean_expression,length
0,13,[[0 * 13]],1
0,14,[[0 * 14]],1
0,15,[[0 * 2 * 3 * 12 * 15]] + [[0 * 2 * 6 * 7 * 15] * -[3 * 12]] + [[0 * 3 * 12 * 14 * 15] * -[2]] + [[0 * 6 * 7 * 12 * 14 * 15] * -[2] * -[3]] + [[0 * 1 * 3 * 5 * 9 * 12 * 13 * 15 * 16] * -[2] * -[14]] + [[0 * 1 * 5 * 6 * 7 * 9 * 12 * 13 * 15 * 16] * -[2] * -[14] * -[3]],15
0,16,[[0 * 2 * 12 * 16]] + [[0 * 9 * 14 * 16] * -[2 * 12]] + [[0 * 12 * 14 * 16] * -[2] * -[9]] + [[0 * 1 * 5 * 9 * 13 * 16] * -[2 * 12] * -[14]],9
1,2,[[1 * 2 * 14]] + [[0 * 1 * 2 * 13] * -[14]] + [[1 * 2 * 5 * 9 * 12 * 16] * -[14] * -[0 * 13]],6
1,3,[[1 * 3 * 12 * 14]] + [[0 * 1 * 2 * 3 * 12 * 13] * -[14]] + [[1 * 3 * 5 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]] + [[1 * 2 * 3 * 6 * 7 * 14 * 15] * -[12]] + [[0 * 1 * 2 * 3 * 6 * 7 * 13 * 15] * -[12] * -[14]],11
1,4,[[1 * 2 * 4 * 6 * 14]] + [[1 * 4 * 6 * 12 * 14] * -[2]] + [[0 * 1 * 2 * 4 * 6 * 13] * -[14]] + [[1 * 4 * 5 * 6 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]] + [[1 * 3 * 4 * 7 * 8 * 12 * 14 * 15] * -[6]] + [[0 * 1 * 2 * 3 * 4 * 7 * 8 * 12 * 13 * 15] * -[6] * -[14]] + [[1 * 3 * 4 * 5 * 7 * 8 * 9 * 12 * 15 * 16] * -[6] * -[14] * -[0 * 2 * 13]],17
1,5,[[1 * 5]],1
1,6,[[1 * 2 * 6 * 14]] + [[1 * 6 * 12 * 14] * -[2]] + [[0 * 1 * 2 * 6 * 13] * -[14]] + [[1 * 5 * 6 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]],8
1,7,[[1 * 2 * 6 * 7 * 14]] + [[1 * 6 * 7 * 12 * 14] * -[2]] + [[0 * 1 * 2 * 6 * 7 * 13] * -[14]] + [[1 * 3 * 7 * 12 * 14 * 15] * -[6]] + [[1 * 5 * 6 * 7 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]] + [[0 * 1 * 2 * 3 * 7 * 12 * 13 * 15] * -[6] * -[14]] + [[1 * 3 * 5 * 7 * 9 * 12 * 15 * 16] * -[14] * -[6] * -[0 * 2 * 13]],17
1,8,[[1 * 2 * 4 * 6 * 8 * 14]] + [[1 * 2 * 6 * 7 * 8 * 14] * -[4]] + [[1 * 4 * 6 * 8 * 12 * 14] * -[2]] + [[1 * 6 * 7 * 8 * 12 * 14] * -[2] * -[4]] + [[0 * 1 * 2 * 4 * 6 * 8 * 13] * -[14]] + [[0 * 1 * 2 * 6 * 7 * 8 * 13] * -[14] * -[4]] + [[1 * 3 * 7 * 8 * 12 * 14 * 15] * -[6]] + [[1 * 4 * 5 * 6 * 8 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]] + [[1 * 5 * 6 * 7 * 8 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13] * -[4]] + [[0 * 1 * 2 * 3 * 7 * 8 * 12 * 13 * 15] * -[6] * -[14]] + [[1 * 3 * 5 * 7 * 8 * 9 * 12 * 15 * 16] * -[14] * -[6] * -[0 * 2 * 13]],29
1,9,[[1 * 5 * 9]] + [[1 * 9 * 14] * -[5]] + [[0 * 1 * 2 * 9 * 12 * 13 * 16] * -[5] * -[14]],6
1,10,[[1 * 5 * 9 * 10 * 11]] + [[1 * 5 * 9 * 10 * 16] * -[11]] + [[1 * 9 * 10 * 11 * 14] * -[5]] + [[1 * 9 * 10 * 14 * 16] * -[5] * -[11]] + [[1 * 10 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 10 * 12 * 13 * 16] * -[5 * 9] * -[14]],13
1,11,[[1 * 5 * 9 * 11]] + [[1 * 9 * 11 * 14] * -[5]] + [[1 * 10 * 11 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 9 * 11 * 12 * 13 * 16] * -[5] * -[14]] + [[0 * 1 * 2 * 10 * 11 * 12 * 13 * 16] * -[14] * -[9]],11
1,12,[[1 * 12 * 14]] + [[0 * 1 * 2 * 12 * 13] * -[14]] + [[1 * 5 * 9 * 12 * 16] * -[14] * -[0 * 2 * 13]],6
1,13,[[1 * 13]],1
1,14,[[1 * 14]],1
1,15,[[1 * 3 * 12 * 14 * 15]] + [[1 * 2 * 6 * 7 * 14 * 15] * -[3 * 12]] + [[1 * 6 * 7 * 12 * 14 * 15] * -[3] * -[2]] + [[0 * 1 * 2 * 3 * 12 * 13 * 15] * -[14]] + [[1 * 3 * 5 * 9 * 12 * 15 * 16] * -[14] * -[0 * 2 * 13]] + [[0 * 1 * 2 * 6 * 7 * 13 * 15] * -[14] * -[3 * 12]] + [[1 * 5 * 6 * 7 * 9 * 12 * 15 * 16] * -[14] * -[3] * -[0 * 2 * 13]],18
1,16,[[1 * 5 * 9 * 16]] + [[1 * 9 * 14 * 16] * -[5]] + [[1 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 12 * 13 * 16] * -[5 * 9] * -[14]],8
2,3,[[2 * 3 * 12]] + [[2 * 3 * 6 * 7 * 15] * -[12]],3
2,4,[[2 * 4 * 6]] + [[2 * 3 * 4 * 7 * 8 * 12 * 15] * -[6]],3
2,5,[[1 * 2 * 5 * 14]] + [[2 * 5 * 9 * 14] * -[1]] + [[0 * 1 * 2 * 5 * 13] * -[14]] + [[2 * 5 * 9 * 12 * 16] * -[14] * -[0 * 1 * 13]],8
2,6,[[2 * 6]],1
2,7,[[2 * 6 * 7]] + [[2 * 3 * 7 * 12 * 15] * -[6]],3
2,8,[[2 * 4 * 6 * 8]] + [[2 * 6 * 7 * 8] * -[4]] + [[2 * 3 * 7 * 8 * 12 * 15] * -[6]],5
2,9,[[2 * 9 * 14]] + [[2 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 9 * 13] * -[14] * -[12 * 16]],6
2,10,[[2 * 10 * 12 * 16]] + [[2 * 9 * 10 * 11 * 14] * -[12 * 16]] + [[2 * 9 * 10 * 14 * 16] * -[12] * -[11]] + [[0 * 1 * 2 * 5 * 9 * 10 * 11 * 13] * -[12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 9 * 10 * 13 * 16] * -[12] * -[14] * -[11]],13
2,11,[[2 * 9 * 11 * 14]] + [[2 * 10 * 11 * 12 * 16] * -[9 * 14]] + [[2 * 9 * 11 * 12 * 16] * -[14] * -[10]] + [[0 * 1 * 2 * 5 * 9 * 11 * 13] * -[14] * -[12 * 16]],9
2,12,[[2 * 12]],1
2,13,[[0 * 2 * 13]] + [[2 * 13 * 14] * -[0]] + [[1 * 2 * 5 * 9 * 12 * 13 * 16] * -[0] * -[14]],6
2,14,[[2 * 14]],1
2,15,[[2 * 3 * 12 * 15]] + [[2 * 6 * 7 * 15] * -[3 * 12]],3
2,16,[[2 * 12 * 16]] + [[2 * 9 * 14 * 16] * -[12]] + [[0 * 1 * 2 * 5 * 9 * 13 * 16] * -[12] * -[14]],6
3,4,[[3 * 4 * 6 * 12]] + [[3 * 4 * 7 * 8 * 15] * -[6 * 12]] + [[3 * 4 * 6 * 7 * 15] * -[12] * -[8]],6
3,5,[[1 * 3 * 5 * 12 * 14]] + [[3 * 5 * 9 * 12 * 14] * -[1]] + [[3 * 5 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 12 * 13] * -[14] * -[9 * 16]] + [[1 * 2 * 3 * 5 * 6 * 7 * 14 * 15] * -[12]] + [[2 * 3 * 5 * 6 * 7 * 9 * 14 * 15] * -[12] * -[1]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 13 * 15] * -[12] * -[14]],16
3,6,[[3 * 6 * 12]] + [[3 * 6 * 7 * 15] * -[12]],3
3,7,[[3 * 7 * 15]] + [[3 * 6 * 7 * 12] * -[15]],3
3,8,[[3 * 7 * 8 * 15]] + [[3 * 4 * 6 * 8 * 12] * -[7 * 15]] + [[3 * 6 * 7 * 8 * 12] * -[15] * -[4]],6
3,9,[[3 * 9 * 12 * 14]] + [[3 * 9 * 12 * 16] * -[14]] + [[2 * 3 * 6 * 7 * 9 * 14 * 15] * -[12]] + [[0 * 1 * 2 * 3 * 5 * 9 * 12 * 13] * -[14] * -[16]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 9 * 13 * 15] * -[14] * -[12]],11
3,10,[[3 * 10 * 12 * 16]] + [[3 * 9 * 10 * 11 * 12 * 14] * -[16]] + [[2 * 3 * 6 * 7 * 9 * 10 * 14 * 15 * 16] * -[12]] + [[2 * 3 * 6 * 7 * 9 * 10 * 11 * 14 * 15] * -[12] * -[16]] + [[0 * 1 * 2 * 3 * 5 * 9 * 10 * 11 * 12 * 13] * -[16] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 9 * 10 * 13 * 15 * 16] * -[12] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 9 * 10 * 11 * 13 * 15] * -[14] * -[12] * -[16]],18
3,11,[[3 * 9 * 11 * 12 * 14]] + [[3 * 9 * 11 * 12 * 16] * -[14]] + [[3 * 10 * 11 * 12 * 16] * -[9]] + [[2 * 3 * 6 * 7 * 9 * 11 * 14 * 15] * -[12]] + [[0 * 1 * 2 * 3 * 5 * 9 * 11 * 12 * 13] * -[14] * -[16]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 9 * 11 * 13 * 15] * -[14] * -[12]],13
3,12,[[3 * 12]],1
3,13,[[3 * 12 * 13 * 14]] + [[0 * 2 * 3 * 12 * 13] * -[14]] + [[1 * 3 * 5 * 9 * 12 * 13 * 16] * -[14] * -[0 * 2]] + [[2 * 3 * 6 * 7 * 13 * 14 * 15] * -[12]] + [[0 * 2 * 3 * 6 * 7 * 13 * 15] * -[12] * -[14]],11
3,14,[[3 * 12 * 14]] + [[2 * 3 * 6 * 7 * 14 * 15] * -[12]],3
3,15,[[3 * 15]],1
3,16,[[3 * 12 * 16]] + [[2 * 3 * 6 * 7 * 9 * 14 * 15 * 16] * -[12]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 9 * 13 * 15 * 16] * -[12] * -[14]],6
4,5,[[1 * 2 * 4 * 5 * 6 * 14]] + [[1 * 4 * 5 * 6 * 12 * 14] * -[2]] + [[2 * 4 * 5 * 6 * 9 * 14] * -[1]] + [[4 * 5 * 6 * 9 * 12 * 14] * -[1] * -[2]] + [[4 * 5 * 6 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 4 * 5 * 6 * 13] * -[14] * -[9 * 12 * 16]] + [[1 * 3 * 4 * 5 * 7 * 8 * 12 * 14 * 15] * -[6]] + [[3 * 4 * 5 * 7 * 8 * 9 * 12 * 14 * 15] * -[6] * -[1]] + [[3 * 4 * 5 * 7 * 8 * 9 * 12 * 15 * 16] * -[6] * -[14]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 12 * 13 * 15] * -[6] * -[14] * -[9 * 16]],25
4,6,[[4 * 6]],1
4,7,[[4 * 6 * 7]] + [[4 * 7 * 8] * -[6]],3
4,8,[[4 * 8]],1
4,9,[[2 * 4 * 6 * 9 * 14]] + [[4 * 6 * 9 * 12 * 14] * -[2]] + [[4 * 6 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 4 * 5 * 6 * 9 * 13] * -[14] * -[12 * 16]] + [[3 * 4 * 7 * 8 * 9 * 12 * 14 * 15] * -[6]] + [[3 * 4 * 7 * 8 * 9 * 12 * 15 * 16] * -[6] * -[14]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 12 * 13 * 15] * -[6] * -[14] * -[16]],17
4,10,[[4 * 6 * 10 * 12 * 16]] + [[2 * 4 * 6 * 9 * 10 * 11 * 14] * -[12 * 16]] + [[2 * 4 * 6 * 9 * 10 * 14 * 16] * -[12] * -[11]] + [[4 * 6 * 9 * 10 * 11 * 12 * 14] * -[16] * -[2]] + [[3 * 4 * 7 * 8 * 10 * 12 * 15 * 16] * -[6]] + [[0 * 1 * 2 * 4 * 5 * 6 * 9 * 10 * 11 * 13] * -[12 * 16] * -[14]] + [[0 * 1 * 2 * 4 * 5 * 6 * 9 * 10 * 13 * 16] * -[12] * -[14] * -[11]] + [[3 * 4 * 7 * 8 * 9 * 10 * 11 * 12 * 14 * 15] * -[6] * -[16]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 10 * 11 * 12 * 13 * 15] * -[16] * -[6] * -[14]],25
4,11,[[2 * 4 * 6 * 9 * 11 * 14]] + [[4 * 6 * 9 * 11 * 12 * 14] * -[2]] + [[4 * 6 * 9 * 11 * 12 * 16] * -[14]] + [[4 * 6 * 10 * 11 * 12 * 16] * -[9]] + [[0 * 1 * 2 * 4 * 5 * 6 * 9 * 11 * 13] * -[14] * -[12 * 16]] + [[3 * 4 * 7 * 8 * 9 * 11 * 12 * 14 * 15] * -[6]] + [[3 * 4 * 7 * 8 * 9 * 11 * 12 * 15 * 16] * -[6] * -[14]] + [[3 * 4 * 7 * 8 * 10 * 11 * 12 * 15 * 16] * -[6] * -[9]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 11 * 12 * 13 * 15] * -[6] * -[14] * -[16]],22
4,12,[[4 * 6 * 12]] + [[3 * 4 * 7 * 8 * 12 * 15] * -[6]],3
4,13,[[0 * 2 * 4 * 6 * 13]] + [[2 * 4 * 6 * 13 * 14] * -[0]] + [[4 * 6 * 12 * 13 * 14] * -[2]] + [[1 * 4 * 5 * 6 * 9 * 12 * 13 * 16] * -[0 * 2] * -[14]] + [[3 * 4 * 7 * 8 * 12 * 13 * 14 * 15] * -[6]] + [[0 * 2 * 3 * 4 * 7 * 8 * 12 * 13 * 15] * -[6] * -[14]] + [[1 * 3 * 4 * 5 * 7 * 8 * 9 * 12 * 13 * 15 * 16] * -[6] * -[14] * -[0 * 2]],17
4,14,[[2 * 4 * 6 * 14]] + [[4 * 6 * 12 * 14] * -[2]] + [[3 * 4 * 7 * 8 * 12 * 14 * 15] * -[6]],5
4,15,[[4 * 6 * 7 * 15]] + [[4 * 7 * 8 * 15] * -[6]] + [[3 * 4 * 6 * 12 * 15] * -[7]],5
4,16,[[4 * 6 * 12 * 16]] + [[2 * 4 * 6 * 9 * 14 * 16] * -[12]] + [[3 * 4 * 7 * 8 * 12 * 15 * 16] * -[6]] + [[0 * 1 * 2 * 4 * 5 * 6 * 9 * 13 * 16] * -[12] * -[14]],8
5,6,[[1 * 2 * 5 * 6 * 14]] + [[1 * 5 * 6 * 12 * 14] * -[2]] + [[2 * 5 * 6 * 9 * 14] * -[1]] + [[5 * 6 * 9 * 12 * 14] * -[1] * -[2]] + [[5 * 6 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 13] * -[14] * -[9 * 12 * 16]],13
5,7,[[1 * 2 * 5 * 6 * 7 * 14]] + [[1 * 5 * 6 * 7 * 12 * 14] * -[2]] + [[2 * 5 * 6 * 7 * 9 * 14] * -[1]] + [[5 * 6 * 7 * 9 * 12 * 14] * -[1] * -[2]] + [[5 * 6 * 7 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 7 * 13] * -[14] * -[9 * 12 * 16]] + [[1 * 3 * 5 * 7 * 12 * 14 * 15] * -[6]] + [[3 * 5 * 7 * 9 * 12 * 14 * 15] * -[6] * -[1]] + [[3 * 5 * 7 * 9 * 12 * 15 * 16] * -[6] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 7 * 12 * 13 * 15] * -[6] * -[14] * -[9 * 16]],25
5,8,[[1 * 2 * 4 * 5 * 6 * 8 * 14]] + [[1 * 2 * 5 * 6 * 7 * 8 * 14] * -[4]] + [[1 * 4 * 5 * 6 * 8 * 12 * 14] * -[2]] + [[1 * 5 * 6 * 7 * 8 * 12 * 14] * -[2] * -[4]] + [[2 * 4 * 5 * 6 * 8 * 9 * 14] * -[1]] + [[2 * 5 * 6 * 7 * 8 * 9 * 14] * -[1] * -[4]] + [[4 * 5 * 6 * 8 * 9 * 12 * 14] * -[1] * -[2]] + [[4 * 5 * 6 * 8 * 9 * 12 * 16] * -[14]] + [[5 * 6 * 7 * 8 * 9 * 12 * 14] * -[1] * -[2] * -[4]] + [[5 * 6 * 7 * 8 * 9 * 12 * 16] * -[4] * -[14]] + [[0 * 1 * 2 * 4 * 5 * 6 * 8 * 13] * -[14] * -[9 * 12 * 16]] + [[0 * 1 * 2 * 5 * 6 * 7 * 8 * 13] * -[14] * -[9 * 12 * 16] * -[4]] + [[1 * 3 * 5 * 7 * 8 * 12 * 14 * 15] * -[6]] + [[3 * 5 * 7 * 8 * 9 * 12 * 14 * 15] * -[6] * -[1]] + [[3 * 5 * 7 * 8 * 9 * 12 * 15 * 16] * -[6] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 7 * 8 * 12 * 13 * 15] * -[6] * -[14] * -[9 * 16]],44
5,9,[[5 * 9]],1
5,10,[[5 * 9 * 10 * 11]] + [[5 * 9 * 10 * 16] * -[11]] + [[1 * 5 * 10 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 5 * 10 * 12 * 13 * 16] * -[9] * -[14]],8
5,11,[[5 * 9 * 11]] + [[1 * 5 * 10 * 11 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 5 * 10 * 11 * 12 * 13 * 16] * -[9] * -[14]],6
5,12,[[1 * 5 * 12 * 14]] + [[5 * 9 * 12 * 14] * -[1]] + [[5 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 12 * 13] * -[14] * -[9 * 16]],8
5,13,[[1 * 5 * 13]] + [[5 * 9 * 13 * 14] * -[1]] + [[0 * 2 * 5 * 9 * 12 * 13 * 16] * -[1] * -[14]],6
5,14,[[1 * 5 * 14]] + [[5 * 9 * 14] * -[1]],3
5,15,[[1 * 3 * 5 * 12 * 14 * 15]] + [[3 * 5 * 9 * 12 * 14 * 15] * -[1]] + [[3 * 5 * 9 * 12 * 15 * 16] * -[14]] + [[1 * 2 * 5 * 6 * 7 * 14 * 15] * -[3 * 12]] + [[2 * 5 * 6 * 7 * 9 * 14 * 15] * -[3 * 12] * -[1]] + [[1 * 5 * 6 * 7 * 12 * 14 * 15] * -[3] * -[2]] + [[5 * 6 * 7 * 9 * 12 * 14 * 15] * -[3] * -[2] * -[1]] + [[5 * 6 * 7 * 9 * 12 * 15 * 16] * -[3] * -[14]] + [[0 * 1 * 2 * 3 * 5 * 12 * 13 * 15] * -[14] * -[9 * 16]] + [[0 * 1 * 2 * 5 * 6 * 7 * 13 * 15] * -[14] * -[12]] + [[0 * 1 * 2 * 5 * 6 * 7 * 13 * 15] * [12] * -[14] * -[9 * 16] * -[3]],31
5,16,[[5 * 9 * 16]] + [[1 * 5 * 12 * 14 * 16] * -[9]] + [[0 * 1 * 2 * 5 * 12 * 13 * 16] * -[9] * -[14]],6
6,7,[[6 * 7]],1
6,8,[[4 * 6 * 8]] + [[6 * 7 * 8] * -[4]],3
6,9,[[2 * 6 * 9 * 14]] + [[6 * 9 * 12 * 14] * -[2]] + [[6 * 9 * 12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 9 * 13] * -[14] * -[12 * 16]],8
6,10,[[6 * 10 * 12 * 16]] + [[2 * 6 * 9 * 10 * 11 * 14] * -[12 * 16]] + [[2 * 6 * 9 * 10 * 14 * 16] * -[12] * -[11]] + [[6 * 9 * 10 * 11 * 12 * 14] * -[16] * -[2]] + [[0 * 1 * 2 * 5 * 6 * 9 * 10 * 11 * 13] * -[12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 9 * 10 * 13 * 16] * -[12] * -[14] * -[11]],16
6,11,[[2 * 6 * 9 * 11 * 14]] + [[6 * 9 * 11 * 12 * 14] * -[2]] + [[6 * 9 * 11 * 12 * 16] * -[14]] + [[6 * 10 * 11 * 12 * 16] * -[9]] + [[0 * 1 * 2 * 5 * 6 * 9 * 11 * 13] * -[14] * -[12 * 16]],10
6,12,[[6 * 12]],1
6,13,[[0 * 2 * 6 * 13]] + [[2 * 6 * 13 * 14] * -[0]] + [[6 * 12 * 13 * 14] * -[2]] + [[1 * 5 * 6 * 9 * 12 * 13 * 16] * -[0 * 2] * -[14]],8
6,14,[[2 * 6 * 14]] + [[6 * 12 * 14] * -[2]],3
6,15,[[6 * 7 * 15]] + [[3 * 6 * 12 * 15] * -[7]],3
6,16,[[6 * 12 * 16]] + [[2 * 6 * 9 * 14 * 16] * -[12]] + [[0 * 1 * 2 * 5 * 6 * 9 * 13 * 16] * -[12] * -[14]],6
7,8,[[7 * 8]],1
7,9,[[2 * 6 * 7 * 9 * 14]] + [[6 * 7 * 9 * 12 * 14] * -[2]] + [[6 * 7 * 9 * 12 * 16] * -[14]] + [[3 * 7 * 9 * 12 * 14 * 15] * -[6]] + [[3 * 7 * 9 * 12 * 15 * 16] * -[6] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 7 * 9 * 13] * -[14] * -[12 * 16]] + [[0 * 1 * 2 * 3 * 5 * 7 * 9 * 12 * 13 * 15] * -[14] * -[16] * -[6]],17
7,10,[[6 * 7 * 10 * 12 * 16]] + [[3 * 7 * 10 * 12 * 15 * 16] * -[6]] + [[2 * 6 * 7 * 9 * 10 * 11 * 14] * -[12 * 16]] + [[2 * 6 * 7 * 9 * 10 * 14 * 16] * -[12] * -[11]] + [[6 * 7 * 9 * 10 * 11 * 12 * 14] * -[16] * -[2]] + [[3 * 7 * 9 * 10 * 11 * 12 * 14 * 15] * -[16] * -[6]] + [[0 * 1 * 2 * 5 * 6 * 7 * 9 * 10 * 11 * 13] * -[12 * 16] * -[14]] + [[0 * 1 * 2 * 5 * 6 * 7 * 9 * 10 * 13 * 16] * -[12] * -[14] * -[11]] + [[0 * 1 * 2 * 3 * 5 * 7 * 9 * 10 * 11 * 12 * 13 * 15] * -[16] * -[14] * -[6]],25
7,11,[[2 * 6 * 7 * 9 * 11 * 14]] + [[6 * 7 * 9 * 11 * 12 * 14] * -[2]] + [[6 * 7 * 9 * 11 * 12 * 16] * -[14]] + [[6 * 7 * 10 * 11 * 12 * 16] * -[9]] + [[3 * 7 * 9 * 11 * 12 * 14 * 15] * -[6]] + [[3 * 7 * 9 * 11 * 12 * 15 * 16] * -[6] * -[14]] + [[3 * 7 * 10 * 11 * 12 * 15 * 16] * -[6] * -[9]] + [[0 * 1 * 2 * 5 * 6 * 7 * 9 * 11 * 13] * -[14] * -[12 * 16]] + [[0 * 1 * 2 * 3 * 5 * 7 * 9 * 11 * 12 * 13 * 15] * -[14] * -[16] * -[6]],22
7,12,[[6 * 7 * 12]] + [[3 * 7 * 12 * 15] * -[6]],3
7,13,[[0 * 2 * 6 * 7 * 13]] + [[2 * 6 * 7 * 13 * 14] * -[0]] + [[6 * 7 * 12 * 13 * 14] * -[2]] + [[3 * 7 * 12 * 13 * 14 * 15] * -[6]] + [[0 * 2 * 3 * 7 * 12 * 13 * 15] * -[6] * -[14]] + [[1 * 5 * 6 * 7 * 9 * 12 * 13 * 16] * -[0 * 2] * -[14]] + [[1 * 3 * 5 * 7 * 9 * 12 * 13 * 15 * 16] * -[14] * -[0 * 2] * -[6]],17
7,14,[[2 * 6 * 7 * 14]] + [[6 * 7 * 12 * 14] * -[2]] + [[3 * 7 * 12 * 14 * 15] * -[6]],5
7,15,[[7 * 15]],1
7,16,[[6 * 7 * 12 * 16]] + [[3 * 7 * 12 * 15 * 16] * -[6]] + [[2 * 6 * 7 * 9 * 14 * 16] * -[12]] + [[0 * 1 * 2 * 5 * 6 * 7 * 9 * 13 * 16] * -[12] * -[14]],8
