source,target,pathsets,length
1,8,"[[1, 13, 0, 2, 12, 3, 15, 7, 8], [1, 13, 0, 2, 6, 4, 8], [1, 13, 0, 2, 6, 7, 8], [1, 14, 12, 3, 15, 7, 8], [1, 14, 12, 6, 4, 8], [1, 14, 12, 6, 7, 8], [1, 14, 2, 6, 4, 8], [1, 14, 2, 6, 7, 8], [1, 5, 9, 16, 12, 3, 15, 7, 8], [1, 5, 9, 16, 12, 6, 4, 8], [1, 5, 9, 16, 12, 6, 7, 8]]",11
1,9,"[[1, 13, 0, 2, 12, 16, 9], [1, 14, 9], [1, 5, 9]]",3
1,10,"[[1, 13, 0, 2, 12, 16, 10], [1, 14, 9, 11, 10], [1, 14, 9, 16, 10], [1, 14, 12, 16, 10], [1, 5, 9, 11, 10], [1, 5, 9, 16, 10]]",6
1,11,"[[1, 13, 0, 2, 12, 16, 9, 11], [1, 13, 0, 2, 12, 16, 10, 11], [1, 14, 9, 11], [1, 14, 12, 16, 10, 11], [1, 5, 9, 11]]",5
1,12,"[[1, 13, 0, 2, 12], [1, 14, 12], [1, 5, 9, 16, 12]]",3
1,13,"[[1, 13]]",1
1,14,"[[1, 14]]",1
1,15,"[[1, 13, 0, 2, 12, 3, 15], [1, 13, 0, 2, 6, 7, 15], [1, 14, 12, 3, 15], [1, 14, 12, 6, 7, 15], [1, 14, 2, 6, 7, 15], [1, 5, 9, 16, 12, 3, 15], [1, 5, 9, 16, 12, 6, 7, 15]]",7
1,16,"[[1, 13, 0, 2, 12, 16], [1, 14, 9, 16], [1, 14, 12, 16], [1, 5, 9, 16]]",4
2,3,"[[2, 12, 3], [2, 6, 7, 15, 3]]",2
2,4,"[[2, 12, 3, 15, 7, 8, 4], [2, 6, 4]]",2
2,5,"[[2, 0, 13, 1, 5], [2, 12, 16, 9, 5], [2, 14, 1, 5], [2, 14, 9, 5]]",4
2,6,"[[2, 6]]",1
2,7,"[[2, 12, 3, 15, 7], [2, 6, 7]]",2
2,8,"[[2, 12, 3, 15, 7, 8], [2, 6, 4, 8], [2, 6, 7, 8]]",3
2,9,"[[2, 0, 13, 1, 5, 9], [2, 12, 16, 9], [2, 14, 9]]",3
2,10,"[[2, 0, 13, 1, 5, 9, 11, 10], [2, 0, 13, 1, 5, 9, 16, 10], [2, 12, 16, 10], [2, 14, 9, 11, 10], [2, 14, 9, 16, 10]]",5
2,11,"[[2, 0, 13, 1, 5, 9, 11], [2, 12, 16, 9, 11], [2, 12, 16, 10, 11], [2, 14, 9, 11]]",4
2,12,"[[2, 12]]",1
2,13,"[[2, 0, 13], [2, 12, 16, 9, 5, 1, 13], [2, 14, 13]]",3
2,14,"[[2, 14]]",1
2,15,"[[2, 12, 3, 15], [2, 6, 7, 15]]",2
2,16,"[[2, 0, 13, 1, 5, 9, 16], [2, 12, 16], [2, 14, 9, 16]]",3
3,4,"[[3, 12, 6, 4], [3, 15, 7, 6, 4], [3, 15, 7, 8, 4]]",3
3,5,"[[3, 12, 14, 1, 5], [3, 12, 14, 9, 5], [3, 12, 16, 9, 5], [3, 12, 2, 0, 13, 1, 5], [3, 15, 7, 6, 2, 0, 13, 1, 5], [3, 15, 7, 6, 2, 14, 1, 5], [3, 15, 7, 6, 2, 14, 9, 5]]",7
3,6,"[[3, 12, 6], [3, 15, 7, 6]]",2
3,7,"[[3, 12, 6, 7], [3, 15, 7]]",2
3,8,"[[3, 12, 6, 4, 8], [3, 12, 6, 7, 8], [3, 15, 7, 8]]",3
3,9,"[[3, 12, 14, 9], [3, 12, 16, 9], [3, 12, 2, 0, 13, 1, 5, 9], [3, 15, 7, 6, 2, 0, 13, 1, 5, 9], [3, 15, 7, 6, 2, 14, 9]]",5
3,10,"[[3, 12, 14, 9, 11, 10], [3, 12, 16, 10], [3, 12, 2, 0, 13, 1, 5, 9, 11, 10], [3, 15, 7, 6, 2, 0, 13, 1, 5, 9, 11, 10], [3, 15, 7, 6, 2, 0, 13, 1, 5, 9, 16, 10], [3, 15, 7, 6, 2, 14, 9, 11, 10], [3, 15, 7, 6, 2, 14, 9, 16, 10]]",7
3,11,"[[3, 12, 14, 9, 11], [3, 12, 16, 9, 11], [3, 12, 16, 10, 11], [3, 12, 2, 0, 13, 1, 5, 9, 11], [3, 15, 7, 6, 2, 0, 13, 1, 5, 9, 11], [3, 15, 7, 6, 2, 14, 9, 11]]",6
3,12,"[[3, 12]]",1
3,13,"[[3, 12, 14, 13], [3, 12, 16, 9, 5, 1, 13], [3, 12, 2, 0, 13], [3, 15, 7, 6, 2, 0, 13], [3, 15, 7, 6, 2, 14, 13]]",5
3,14,"[[3, 12, 14], [3, 15, 7, 6, 2, 14]]",2
3,15,"[[3, 15]]",1
3,16,"[[3, 12, 16], [3, 15, 7, 6, 2, 0, 13, 1, 5, 9, 16], [3, 15, 7, 6, 2, 14, 9, 16]]",3
4,5,"[[4, 6, 12, 14, 1, 5], [4, 6, 12, 14, 9, 5], [4, 6, 12, 16, 9, 5], [4, 6, 2, 0, 13, 1, 5], [4, 6, 2, 14, 1, 5], [4, 6, 2, 14, 9, 5], [4, 8, 7, 15, 3, 12, 14, 1, 5], [4, 8, 7, 15, 3, 12, 14, 9, 5], [4, 8, 7, 15, 3, 12, 16, 9, 5], [4, 8, 7, 15, 3, 12, 2, 0, 13, 1, 5]]",10
4,6,"[[4, 6]]",1
4,7,"[[4, 6, 7], [4, 8, 7]]",2
4,8,"[[4, 8]]",1
4,9,"[[4, 6, 12, 14, 9], [4, 6, 12, 16, 9], [4, 6, 2, 0, 13, 1, 5, 9], [4, 6, 2, 14, 9], [4, 8, 7, 15, 3, 12, 14, 9], [4, 8, 7, 15, 3, 12, 16, 9], [4, 8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9]]",7
4,10,"[[4, 6, 12, 14, 9, 11, 10], [4, 6, 12, 16, 10], [4, 6, 2, 0, 13, 1, 5, 9, 11, 10], [4, 6, 2, 0, 13, 1, 5, 9, 16, 10], [4, 6, 2, 14, 9, 11, 10], [4, 6, 2, 14, 9, 16, 10], [4, 8, 7, 15, 3, 12, 14, 9, 11, 10], [4, 8, 7, 15, 3, 12, 16, 10], [4, 8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11, 10]]",9
4,11,"[[4, 6, 12, 14, 9, 11], [4, 6, 12, 16, 9, 11], [4, 6, 12, 16, 10, 11], [4, 6, 2, 0, 13, 1, 5, 9, 11], [4, 6, 2, 14, 9, 11], [4, 8, 7, 15, 3, 12, 14, 9, 11], [4, 8, 7, 15, 3, 12, 16, 9, 11], [4, 8, 7, 15, 3, 12, 16, 10, 11], [4, 8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11]]",9
4,12,"[[4, 6, 12], [4, 8, 7, 15, 3, 12]]",2
4,13,"[[4, 6, 12, 14, 13], [4, 6, 12, 16, 9, 5, 1, 13], [4, 6, 2, 0, 13], [4, 6, 2, 14, 13], [4, 8, 7, 15, 3, 12, 14, 13], [4, 8, 7, 15, 3, 12, 16, 9, 5, 1, 13], [4, 8, 7, 15, 3, 12, 2, 0, 13]]",7
4,14,"[[4, 6, 12, 14], [4, 6, 2, 14], [4, 8, 7, 15, 3, 12, 14]]",3
4,15,"[[4, 6, 12, 3, 15], [4, 6, 7, 15], [4, 8, 7, 15]]",3
4,16,"[[4, 6, 12, 16], [4, 6, 2, 0, 13, 1, 5, 9, 16], [4, 6, 2, 14, 9, 16], [4, 8, 7, 15, 3, 12, 16]]",4
5,6,"[[5, 1, 13, 0, 2, 6], [5, 1, 14, 12, 6], [5, 1, 14, 2, 6], [5, 9, 14, 12, 6], [5, 9, 14, 2, 6], [5, 9, 16, 12, 6]]",6
5,7,"[[5, 1, 13, 0, 2, 12, 3, 15, 7], [5, 1, 13, 0, 2, 6, 7], [5, 1, 14, 12, 3, 15, 7], [5, 1, 14, 12, 6, 7], [5, 1, 14, 2, 6, 7], [5, 9, 14, 12, 3, 15, 7], [5, 9, 14, 12, 6, 7], [5, 9, 14, 2, 6, 7], [5, 9, 16, 12, 3, 15, 7], [5, 9, 16, 12, 6, 7]]",10
5,8,"[[5, 1, 13, 0, 2, 12, 3, 15, 7, 8], [5, 1, 13, 0, 2, 6, 4, 8], [5, 1, 13, 0, 2, 6, 7, 8], [5, 1, 14, 12, 3, 15, 7, 8], [5, 1, 14, 12, 6, 4, 8], [5, 1, 14, 12, 6, 7, 8], [5, 1, 14, 2, 6, 4, 8], [5, 1, 14, 2, 6, 7, 8], [5, 9, 14, 12, 3, 15, 7, 8], [5, 9, 14, 12, 6, 4, 8], [5, 9, 14, 12, 6, 7, 8], [5, 9, 14, 2, 6, 4, 8], [5, 9, 14, 2, 6, 7, 8], [5, 9, 16, 12, 3, 15, 7, 8], [5, 9, 16, 12, 6, 4, 8], [5, 9, 16, 12, 6, 7, 8]]",16
5,9,"[[5, 9]]",1
5,10,"[[5, 1, 13, 0, 2, 12, 16, 10], [5, 1, 14, 12, 16, 10], [5, 9, 11, 10], [5, 9, 16, 10]]",4
5,11,"[[5, 1, 13, 0, 2, 12, 16, 10, 11], [5, 1, 14, 12, 16, 10, 11], [5, 9, 11]]",3
5,12,"[[5, 1, 13, 0, 2, 12], [5, 1, 14, 12], [5, 9, 14, 12], [5, 9, 16, 12]]",4
5,13,"[[5, 1, 13], [5, 9, 14, 13], [5, 9, 16, 12, 2, 0, 13]]",3
5,14,"[[5, 1, 14], [5, 9, 14]]",2
5,15,"[[5, 1, 13, 0, 2, 12, 3, 15], [5, 1, 13, 0, 2, 6, 7, 15], [5, 1, 14, 12, 3, 15], [5, 1, 14, 12, 6, 7, 15], [5, 1, 14, 2, 6, 7, 15], [5, 9, 14, 12, 3, 15], [5, 9, 14, 12, 6, 7, 15], [5, 9, 14, 2, 6, 7, 15], [5, 9, 16, 12, 3, 15], [5, 9, 16, 12, 6, 7, 15]]",10
5,16,"[[5, 1, 13, 0, 2, 12, 16], [5, 1, 14, 12, 16], [5, 9, 16]]",3
6,7,"[[6, 7]]",1
6,8,"[[6, 4, 8], [6, 7, 8]]",2
6,9,"[[6, 12, 14, 9], [6, 12, 16, 9], [6, 2, 0, 13, 1, 5, 9], [6, 2, 14, 9]]",4
6,10,"[[6, 12, 14, 9, 11, 10], [6, 12, 16, 10], [6, 2, 0, 13, 1, 5, 9, 11, 10], [6, 2, 0, 13, 1, 5, 9, 16, 10], [6, 2, 14, 9, 11, 10], [6, 2, 14, 9, 16, 10]]",6
6,11,"[[6, 12, 14, 9, 11], [6, 12, 16, 9, 11], [6, 12, 16, 10, 11], [6, 2, 0, 13, 1, 5, 9, 11], [6, 2, 14, 9, 11]]",5
6,12,"[[6, 12]]",1
6,13,"[[6, 12, 14, 13], [6, 12, 16, 9, 5, 1, 13], [6, 2, 0, 13], [6, 2, 14, 13]]",4
6,14,"[[6, 12, 14], [6, 2, 14]]",2
6,15,"[[6, 12, 3, 15], [6, 7, 15]]",2
6,16,"[[6, 12, 16], [6, 2, 0, 13, 1, 5, 9, 16], [6, 2, 14, 9, 16]]",3
7,8,"[[7, 8]]",1
7,9,"[[7, 15, 3, 12, 14, 9], [7, 15, 3, 12, 16, 9], [7, 15, 3, 12, 2, 0, 13, 1, 5, 9], [7, 6, 12, 14, 9], [7, 6, 12, 16, 9], [7, 6, 2, 0, 13, 1, 5, 9], [7, 6, 2, 14, 9]]",7
7,10,"[[7, 15, 3, 12, 14, 9, 11, 10], [7, 15, 3, 12, 16, 10], [7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11, 10], [7, 6, 12, 14, 9, 11, 10], [7, 6, 12, 16, 10], [7, 6, 2, 0, 13, 1, 5, 9, 11, 10], [7, 6, 2, 0, 13, 1, 5, 9, 16, 10], [7, 6, 2, 14, 9, 11, 10], [7, 6, 2, 14, 9, 16, 10]]",9
7,11,"[[7, 15, 3, 12, 14, 9, 11], [7, 15, 3, 12, 16, 9, 11], [7, 15, 3, 12, 16, 10, 11], [7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11], [7, 6, 12, 14, 9, 11], [7, 6, 12, 16, 9, 11], [7, 6, 12, 16, 10, 11], [7, 6, 2, 0, 13, 1, 5, 9, 11], [7, 6, 2, 14, 9, 11]]",9
7,12,"[[7, 15, 3, 12], [7, 6, 12]]",2
7,13,"[[7, 15, 3, 12, 14, 13], [7, 15, 3, 12, 16, 9, 5, 1, 13], [7, 15, 3, 12, 2, 0, 13], [7, 6, 12, 14, 13], [7, 6, 12, 16, 9, 5, 1, 13], [7, 6, 2, 0, 13], [7, 6, 2, 14, 13]]",7
7,14,"[[7, 15, 3, 12, 14], [7, 6, 12, 14], [7, 6, 2, 14]]",3
7,15,"[[7, 15]]",1
7,16,"[[7, 15, 3, 12, 16], [7, 6, 12, 16], [7, 6, 2, 0, 13, 1, 5, 9, 16], [7, 6, 2, 14, 9, 16]]",4
8,9,"[[8, 4, 6, 12, 14, 9], [8, 4, 6, 12, 16, 9], [8, 4, 6, 2, 0, 13, 1, 5, 9], [8, 4, 6, 2, 14, 9], [8, 7, 15, 3, 12, 14, 9], [8, 7, 15, 3, 12, 16, 9], [8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9], [8, 7, 6, 12, 14, 9], [8, 7, 6, 12, 16, 9], [8, 7, 6, 2, 0, 13, 1, 5, 9], [8, 7, 6, 2, 14, 9]]",11
8,10,"[[8, 4, 6, 12, 14, 9, 11, 10], [8, 4, 6, 12, 16, 10], [8, 4, 6, 2, 0, 13, 1, 5, 9, 11, 10], [8, 4, 6, 2, 0, 13, 1, 5, 9, 16, 10], [8, 4, 6, 2, 14, 9, 11, 10], [8, 4, 6, 2, 14, 9, 16, 10], [8, 7, 15, 3, 12, 14, 9, 11, 10], [8, 7, 15, 3, 12, 16, 10], [8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11, 10], [8, 7, 6, 12, 14, 9, 11, 10], [8, 7, 6, 12, 16, 10], [8, 7, 6, 2, 0, 13, 1, 5, 9, 11, 10], [8, 7, 6, 2, 0, 13, 1, 5, 9, 16, 10], [8, 7, 6, 2, 14, 9, 11, 10], [8, 7, 6, 2, 14, 9, 16, 10]]",15
8,11,"[[8, 4, 6, 12, 14, 9, 11], [8, 4, 6, 12, 16, 9, 11], [8, 4, 6, 12, 16, 10, 11], [8, 4, 6, 2, 0, 13, 1, 5, 9, 11], [8, 4, 6, 2, 14, 9, 11], [8, 7, 15, 3, 12, 14, 9, 11], [8, 7, 15, 3, 12, 16, 9, 11], [8, 7, 15, 3, 12, 16, 10, 11], [8, 7, 15, 3, 12, 2, 0, 13, 1, 5, 9, 11], [8, 7, 6, 12, 14, 9, 11], [8, 7, 6, 12, 16, 9, 11], [8, 7, 6, 12, 16, 10, 11], [8, 7, 6, 2, 0, 13, 1, 5, 9, 11], [8, 7, 6, 2, 14, 9, 11]]",14
8,12,"[[8, 4, 6, 12], [8, 7, 15, 3, 12], [8, 7, 6, 12]]",3
8,13,"[[8, 4, 6, 12, 14, 13], [8, 4, 6, 12, 16, 9, 5, 1, 13], [8, 4, 6, 2, 0, 13], [8, 4, 6, 2, 14, 13], [8, 7, 15, 3, 12, 14, 13], [8, 7, 15, 3, 12, 16, 9, 5, 1, 13], [8, 7, 15, 3, 12, 2, 0, 13], [8, 7, 6, 12, 14, 13], [8, 7, 6, 12, 16, 9, 5, 1, 13], [8, 7, 6, 2, 0, 13], [8, 7, 6, 2, 14, 13]]",11
8,14,"[[8, 4, 6, 12, 14], [8, 4, 6, 2, 14], [8, 7, 15, 3, 12, 14], [8, 7, 6, 12, 14], [8, 7, 6, 2, 14]]",5
8,15,"[[8, 4, 6, 12, 3, 15], [8, 7, 15]]",2
8,16,"[[8, 4, 6, 12, 16], [8, 4, 6, 2, 0, 13, 1, 5, 9, 16], [8, 4, 6, 2, 14, 9, 16], [8, 7, 15, 3, 12, 16], [8, 7, 6, 12, 16], [8, 7, 6, 2, 0, 13, 1, 5, 9, 16], [8, 7, 6, 2, 14, 9, 16]]",7
9,10,"[[9, 11, 10], [9, 16, 10]]",2
9,11,"[[9, 11]]",1
9,12,"[[9, 14, 12], [9, 16, 12], [9, 5, 1, 13, 0, 2, 12]]",3
9,13,"[[9, 14, 13], [9, 16, 12, 2, 0, 13], [9, 5, 1, 13]]",3
9,14,"[[9, 14]]",1
9,15,"[[9, 14, 12, 3, 15], [9, 14, 12, 6, 7, 15], [9, 14, 2, 6, 7, 15], [9, 16, 12, 3, 15], [9, 16, 12, 6, 7, 15], [9, 5, 1, 13, 0, 2, 12, 3, 15], [9, 5, 1, 13, 0, 2, 6, 7, 15]]",7
9,16,"[[9, 16]]",1
10,11,"[[10, 11]]",1
10,12,"[[10, 11, 9, 14, 12], [10, 11, 9, 5, 1, 13, 0, 2, 12], [10, 16, 12]]",3
10,13,"[[10, 11, 9, 14, 13], [10, 11, 9, 5, 1, 13], [10, 16, 9, 14, 13], [10, 16, 9, 5, 1, 13], [10, 16, 12, 14, 13], [10, 16, 12, 2, 0, 13]]",6
10,14,"[[10, 11, 9, 14], [10, 16, 9, 14], [10, 16, 12, 14]]",3
10,15,"[[10, 11, 9, 14, 12, 3, 15], [10, 11, 9, 14, 12, 6, 7, 15], [10, 11, 9, 14, 2, 6, 7, 15], [10, 11, 9, 5, 1, 13, 0, 2, 12, 3, 15], [10, 11, 9, 5, 1, 13, 0, 2, 6, 7, 15], [10, 16, 9, 14, 2, 6, 7, 15], [10, 16, 9, 5, 1, 13, 0, 2, 6, 7, 15], [10, 16, 12, 3, 15], [10, 16, 12, 6, 7, 15]]",9
10,16,"[[10, 16]]",1
11,12,"[[11, 9, 14, 12], [11, 9, 16, 12], [11, 9, 5, 1, 13, 0, 2, 12], [11, 10, 16, 12]]",4
11,13,"[[11, 9, 14, 13], [11, 9, 16, 12, 2, 0, 13], [11, 9, 5, 1, 13], [11, 10, 16, 12, 14, 13], [11, 10, 16, 12, 2, 0, 13]]",5
11,14,"[[11, 9, 14], [11, 10, 16, 12, 14]]",2
11,15,"[[11, 9, 14, 12, 3, 15], [11, 9, 14, 12, 6, 7, 15], [11, 9, 14, 2, 6, 7, 15], [11, 9, 16, 12, 3, 15], [11, 9, 16, 12, 6, 7, 15], [11, 9, 5, 1, 13, 0, 2, 12, 3, 15], [11, 9, 5, 1, 13, 0, 2, 6, 7, 15], [11, 10, 16, 12, 3, 15], [11, 10, 16, 12, 6, 7, 15]]",9
11,16,"[[11, 9, 16], [11, 10, 16]]",2
12,13,"[[12, 14, 13], [12, 16, 9, 5, 1, 13], [12, 2, 0, 13]]",3
12,14,"[[12, 14]]",1
12,15,"[[12, 3, 15], [12, 6, 7, 15]]",2
12,16,"[[12, 16]]",1
13,14,"[[13, 14]]",1
13,15,"[[13, 0, 2, 12, 3, 15], [13, 0, 2, 6, 7, 15], [13, 1, 5, 9, 16, 12, 3, 15], [13, 1, 5, 9, 16, 12, 6, 7, 15], [13, 14, 12, 3, 15], [13, 14, 12, 6, 7, 15], [13, 14, 2, 6, 7, 15]]",7
13,16,"[[13, 0, 2, 12, 16], [13, 1, 5, 9, 16], [13, 14, 9, 16], [13, 14, 12, 16]]",4
14,15,"[[14, 12, 3, 15], [14, 12, 6, 7, 15], [14, 2, 6, 7, 15]]",3
14,16,"[[14, 9, 16], [14, 12, 16]]",2
15,16,"[[15, 3, 12, 16], [15, 7, 6, 12, 16], [15, 7, 6, 2, 0, 13, 1, 5, 9, 16], [15, 7, 6, 2, 14, 9, 16]]",4
