src,dst,boolean_expression,length
1,6,[[1 * 2 * 3 * 4 * 5 * 6 * 10]] + [[0 * 1 * 6 * 7 * 8 * 9 * 11 * 12] * -[2 * 3 * 4 * 5 * 10]],3
1,7,[[0 * 1 * 7 * 8 * 9 * 11]] + [[1 * 2 * 3 * 4 * 5 * 6 * 7 * 10 * 12] * -[0 * 8 * 9 * 11]],3
1,8,[[0 * 1 * 8 * 9 * 11]] + [[1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 10 * 12] * -[0 * 9 * 11]],3
1,9,[[0 * 1 * 9 * 11]] + [[1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 12] * -[0 * 11]],3
1,10,[[1 * 2 * 3 * 4 * 5 * 10]] + [[0 * 1 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[2 * 3 * 4 * 5]],3
1,11,[[0 * 1 * 11]] + [[1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[0]],3
1,12,[[0 * 1 * 7 * 8 * 9 * 11 * 12]] + [[1 * 2 * 3 * 4 * 5 * 6 * 10 * 12] * -[0 * 7 * 8 * 9 * 11]],3
2,3,[[2 * 3]],1
2,4,[[2 * 3 * 4]] + [[0 * 1 * 2 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[3]],3
2,5,[[2 * 3 * 4 * 5]] + [[0 * 1 * 2 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[3 * 4]],3
2,6,[[2 * 3 * 4 * 5 * 6 * 10]] + [[0 * 1 * 2 * 6 * 7 * 8 * 9 * 11 * 12] * -[3 * 4 * 5 * 10]],3
2,7,[[0 * 1 * 2 * 7 * 8 * 9 * 11]] + [[2 * 3 * 4 * 5 * 6 * 7 * 10 * 12] * -[0 * 1 * 8 * 9 * 11]],3
2,8,[[0 * 1 * 2 * 8 * 9 * 11]] + [[2 * 3 * 4 * 5 * 6 * 7 * 8 * 10 * 12] * -[0 * 1 * 9 * 11]],3
2,9,[[0 * 1 * 2 * 9 * 11]] + [[2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 12] * -[0 * 1 * 11]],3
2,10,[[2 * 3 * 4 * 5 * 10]] + [[0 * 1 * 2 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[3 * 4 * 5]],3
2,11,[[0 * 1 * 2 * 11]] + [[2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[0 * 1]],3
2,12,[[2 * 3 * 4 * 5 * 6 * 10 * 12]] + [[0 * 1 * 2 * 7 * 8 * 9 * 11 * 12] * -[3 * 4 * 5 * 6 * 10]],3
3,4,[[3 * 4]],1
3,5,[[3 * 4 * 5]] + [[0 * 1 * 2 * 3 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[4]],3
3,6,[[3 * 4 * 5 * 6 * 10]] + [[0 * 1 * 2 * 3 * 6 * 7 * 8 * 9 * 11 * 12] * -[4 * 5 * 10]],3
3,7,[[3 * 4 * 5 * 6 * 7 * 10 * 12]] + [[0 * 1 * 2 * 3 * 7 * 8 * 9 * 11] * -[4 * 5 * 6 * 10 * 12]],3
3,8,[[0 * 1 * 2 * 3 * 8 * 9 * 11]] + [[3 * 4 * 5 * 6 * 7 * 8 * 10 * 12] * -[0 * 1 * 2 * 9 * 11]],3
3,9,[[0 * 1 * 2 * 3 * 9 * 11]] + [[3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 12] * -[0 * 1 * 2 * 11]],3
3,10,[[3 * 4 * 5 * 10]] + [[0 * 1 * 2 * 3 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[4 * 5]],3
3,11,[[0 * 1 * 2 * 3 * 11]] + [[3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[0 * 1 * 2]],3
3,12,[[3 * 4 * 5 * 6 * 10 * 12]] + [[0 * 1 * 2 * 3 * 7 * 8 * 9 * 11 * 12] * -[4 * 5 * 6 * 10]],3
4,5,[[4 * 5]],1
4,6,[[4 * 5 * 6 * 10]] + [[0 * 1 * 2 * 3 * 4 * 6 * 7 * 8 * 9 * 11 * 12] * -[5 * 10]],3
4,7,[[4 * 5 * 6 * 7 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 7 * 8 * 9 * 11] * -[5 * 6 * 10 * 12]],3
4,8,[[4 * 5 * 6 * 7 * 8 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 8 * 9 * 11] * -[5 * 6 * 7 * 10 * 12]],3
4,9,[[0 * 1 * 2 * 3 * 4 * 9 * 11]] + [[4 * 5 * 6 * 7 * 8 * 9 * 10 * 12] * -[0 * 1 * 2 * 3 * 11]],3
4,10,[[4 * 5 * 10]] + [[0 * 1 * 2 * 3 * 4 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[5]],3
4,11,[[0 * 1 * 2 * 3 * 4 * 11]] + [[4 * 5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[0 * 1 * 2 * 3]],3
4,12,[[4 * 5 * 6 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 7 * 8 * 9 * 11 * 12] * -[5 * 6 * 10]],3
5,6,[[5 * 6 * 10]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 11 * 12] * -[10]],3
5,7,[[5 * 6 * 7 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 11] * -[6 * 10 * 12]],3
5,8,[[5 * 6 * 7 * 8 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 8 * 9 * 11] * -[6 * 7 * 10 * 12]],3
5,9,[[5 * 6 * 7 * 8 * 9 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 9 * 11] * -[6 * 7 * 8 * 10 * 12]],3
5,10,[[5 * 10]],1
5,11,[[0 * 1 * 2 * 3 * 4 * 5 * 11]] + [[5 * 6 * 7 * 8 * 9 * 10 * 11 * 12] * -[0 * 1 * 2 * 3 * 4]],3
5,12,[[5 * 6 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 11 * 12] * -[6 * 10]],3
6,7,[[6 * 7 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 9 * 10 * 11] * -[12]],3
6,8,[[6 * 7 * 8 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 8 * 9 * 10 * 11] * -[7 * 12]],3
6,9,[[6 * 7 * 8 * 9 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 9 * 10 * 11] * -[7 * 8 * 12]],3
6,10,[[6 * 10]],1
6,11,[[6 * 7 * 8 * 9 * 11 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 10 * 11] * -[7 * 8 * 9 * 12]],3
6,12,[[6 * 12]],1
7,8,[[7 * 8]],1
7,9,[[7 * 8 * 9]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 9 * 10 * 11 * 12] * -[8]],3
7,10,[[6 * 7 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 10 * 11] * -[6 * 12]],3
7,11,[[7 * 8 * 9 * 11]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 10 * 11 * 12] * -[8 * 9]],3
7,12,[[7 * 12]],1
8,9,[[8 * 9]],1
8,10,[[6 * 7 * 8 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 8 * 9 * 10 * 11] * -[6 * 7 * 12]],3
8,11,[[8 * 9 * 11]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 7 * 8 * 10 * 11 * 12] * -[9]],3
8,12,[[7 * 8 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 8 * 9 * 10 * 11 * 12] * -[7]],3
9,10,[[6 * 7 * 8 * 9 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 9 * 10 * 11] * -[6 * 7 * 8 * 12]],3
9,11,[[9 * 11]],1
9,12,[[7 * 8 * 9 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 9 * 10 * 11 * 12] * -[7 * 8]],3
10,11,[[6 * 7 * 8 * 9 * 10 * 11 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 10 * 11] * -[6 * 7 * 8 * 9 * 12]],3
10,12,[[6 * 10 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 7 * 8 * 9 * 10 * 11 * 12] * -[6]],3
11,12,[[7 * 8 * 9 * 11 * 12]] + [[0 * 1 * 2 * 3 * 4 * 5 * 6 * 10 * 11 * 12] * -[7 * 8 * 9]],3
